variant,canonical,route
Not Avengers: Infinity War Part 1 (Movie) Compliant,Alternate Universe,genre
Not Canon Compliant,Alternate Universe,genre
Not Canon Compliant - Harry Potter and the Goblet of Fire,Alternate Universe,genre
Not Captain America: Civil War (Movie) Compliant,Alternate Universe,genre
Nsfw,NSFW,tag
Nsfw For Safety,NSFW,tag
Obito U.,Uchiha Obito,character
OC can’t catch a break,OC can't catch a break,tag
Oc Characters,OC,tag
Oc Insert,SI/OC,tag
Oc Main Character,OC,tag
Oc Mc,OC,tag
Oc Protagonist,OC,tag
OC! Insert,SI/OC,tag
Oc's Everywhere,Ocs Everywhere,tag
oc-insert,SI/OC,tag
Oc-Mc,Oc Mc,tag
Ocs Everywhere,OC,tag
Oh God What Am I Doing,Oh God What Am I Doing?,tag
Oh God What Am I Doing??,Oh God What Am I Doing?,tag
Oh My Goddess!,Oh My Goddess!,fandom
OMAKES,Omake,tag
One Piece - Marine SI,One Piece- Marine SI,tag
One-Shot,One Shot,tag
Op (Sorta) Mc,Overpowered,tag
Op Mc,Overpowered,tag
Op Protagonist,Overpowered,tag
Orgasm Control,Orgasm Denial,tag
Original Character,OC,tag
Original Character - Freeform,OC,tag
Original Character-centric,OC,tag
Original Character/???,Original Character,tag
Original Female Character(s) - Freeform,OC,tag
Original Inuzuka Character(s),OC,tag
Orihime I.,Inoue Orihime,character
OT3,Polyamory,tag
Other dimension/Universe,Alternate Universe,tag
Other Erotica,Smut,tag
Out of Character,OOC,tag
Overlord - Maruyama Kugane & Related Fandoms,Overlord - Maruyama Kugane,fandom
Overpowered As Fuck,Overpowered,tag
Overpowered Bullshit,Overpowered,tag
Overpowered characters,Overpowered,tag
Overpowered Main Character,Overpowered,tag
Overpowered Mc,Overpowered,tag
Overpowered Protagonist,Overpowered,tag
Panacea,Panacea,character
Parent/Child Incest,Incest,tag
Parenting(?),parenting,tag
Partial-Self Insert,Self-Insert,tag
Past Lives,Reincarnation,genre
Past Rape/Non-con,Non-Con,tag
Past Torture,Torture,tag
Pathfinder 1,Pathfinder,fandom
Percy Jackson and the Olympians - Rick Riordan,Percy Jackson and the Olympians,fandom
Percy Jackson Au,Alternate Universe,genre
Physical Abuse,Abuse,tag
Pjo,Percy Jackson and the Olympians,fandom
Pjo Au,Alternate Universe,genre
Planetary Annihilation - Multicross SI,Planetary Annihilation Multicross SI,tag
Plot And 'Plot',Plot With Porn,tag
"Plot Before ""Plot""",Plot With Porn,tag
"Plot Before ""Porn""",Plot Before Porn,tag
Plot Before 'Plot',"Plot Before ""Plot""",tag
Plot Before Porn,Plot With Porn,tag
Plot What Plot/Porn Without Plot,PWP,tag
plot what plot?,Plot? What Plot?,tag
Plot-heavy,plot heavy,tag
Plot? What Plot?,PWP,tag
Pokemon Anime,Pokemon,fandom
Pokemon Au,Alternate Universe,genre
Pokemon Isekai,Isekai,genre
Political,Politics,tag
Political Machinations,Politics,tag
Politics!,Politics,tag
Polyamorous Character,Polyamory,tag
Polyamory Negotiations,Polyamory,tag
Polygamy,Polyamory,tag
Porn,Smut,tag
Porn For The Porn God,PWP,tag
Porn Is The Plot,PWP,tag
Porn With Plot With Porn,Porn With Plot,tag
Portal Fantasy / Isekai,Isekai,genre
Portal Fantasy/Isekai,Portal Fantasy / Isekai,tag
Possible Au Elements,Alternate Universe,genre
Possible Multicross,Crossover,genre
Post War,Post-War,tag
Post-Avengers (2012),Marvel,fandom
power,Powerful,tag
Powerful Mc,Powerful,tag
Pre Canon,Pre-Canon,tag
Pre-Canon Start,Pre-Canon,tag
Pseudo Incest,Pseudo-Incest,tag
Psychological Horror,Horror,genre
Psychological Torture,Torture,tag
Pureblood Politics,Harry Potter,fandom
PWP - Porn w/o Plot,PWP,tag
Qyburn (ASoIaF),Qyburn,character
R-18,Explicit,tag
R. Tam,River Tam,character
R18,Explicit,tag
Ranma 1,Ranma ½,fandom
Rape,Non-Con,tag
Rape/Non-con Elements,Non-Con,tag
Rape?,Rape,tag
Raven,Raven,character
Raven Dc,Raven (DC),character
Realistic Au,Alternate Universe,genre
Really Quite A Lot Of Au,Alternate Universe,genre
Rebirth,Reincarnation,genre
recovery :),Recovery,tag
Reincarnated,Reincarnation,genre
Reincarnated Mc,Reincarnation,genre
Riser,Riser Phenex,character
Romantic Fluff,Fluff,tag
Ron Weasley Bashing,Ron Bashing,tag
Root - Freeform,Naruto,fandom
Rory,Rory Mercury,character
Rule 63,Gender Bender,tag
Rwby Au,Alternate Universe,genre
RWBY OC-I,SI/OC,tag
Samurai Sentai Shinkenger,Samurai Sentai Shinkenger,fandom
Sandman,The Sandman,fandom
SAO,Sword Art Online,fandom
Science,Science!,tag
Science Fiction & Fantasy,Science Fiction,genre
Science!!!!!,Science!,tag
SCP Foundation,Scp-Foundation,tag
Scp-Foundation,SCP Foundation,fandom
Self Discovery,Self-Discovery,tag
Self Harm,Self-Harm,tag
Self Indulgent,Self-Indulgent,tag
Self Indulgent?,Self-Indulgent,tag
Self Inesert,Self-Insert,tag
Self Insert,Self-Insert,tag
Self insert in style,Self-Insert,tag
Self Insert Is An Oc,SI/OC,tag
Self Insert Is Basically An Oc,SI/OC,tag
Self Insert Kinda,self-insert kinda,tag
Self Insert Oc,SI/OC,tag
Self Insertion,Self-Insert,tag
Self Inserts,Self-Insert,tag
Self Inset,Self-Insert,tag
Self Loathing,Self-Loathing,tag
Self(?) Insert,Self-Insert,tag
Self-insert in style,Self insert in style,tag
self-insert kinda,Self-Insert,tag
Self-Insert OC,Self Insert Oc,tag
Selfinsert,Self-Insert,tag
Semi Self-Insert,Self-Insert,tag
Semi Si,Self-Insert,tag
semi-au,Alternate Universe,genre
Semi-Crack,Crack,tag
Semi-SI,Semi Si,tag
Serious Crackfic,Crack Treated Seriously,tag
Setting Fusion,Crossover,genre
Severus Snape Bashing,Snape Bashing,tag
Sexual Abuse,Abuse,tag
Sexual Content,Smut,tag
Sexual Tension,UST,tag
Sexy Times,Smut,tag
Sexy Times?,Sexy Times,tag
Shameless Smut,Smut,tag
Shazam,Shazam,character
Sherlock,Sherlock (TV),fandom
Sherlock (TV),Sherlock (TV),fandom
Sherlock H.,Sherlock Holmes,character
Shikaku N.,Nara Shikaku,character
Shota,Underage,tag
Shotacon,Underage,tag
SI,Self-Insert,tag
Si (Self Insert),Self-Insert,tag
Si / Oc,SI/OC,tag
Si Oc,SI/OC,tag
SI OC,SI/OC,tag
SI(?,SI,tag
si-oc,SI/OC,tag
Sibling Incest,Incest,tag
Sibyll Trelawney,Sybill Trelawney,character
